"Date","PM25"
2019-01-19,14.4125
2019-01-20,26.0416666666667
2019-01-21,33.3166666666667
2019-01-22,8.14583333333333
2019-01-23,16.6875
2019-01-24,31.1666666666667
2019-01-25,16.5791666666667
2019-01-26,5.17083333333333
2019-01-27,3.4375
2019-01-28,4.16
2019-01-29,NA
2019-01-30,NA
2019-01-31,19.8769230769231
2019-02-01,11.7583333333333
2019-02-02,14.1416666666667
2019-02-03,10.375
2019-02-04,9.24583333333333
2019-02-05,11.375
2019-02-06,8.05
2019-02-07,4.3125
2019-02-08,4.89583333333333
2019-02-09,5.19583333333333
2019-02-10,2.6125
2019-02-11,8.52083333333333
2019-02-12,9.84583333333333
2019-02-13,13.2458333333333
2019-02-14,27.3958333333333
2019-02-15,30.9916666666667
2019-02-16,24.325
2019-02-17,18.8458333333333
2019-02-18,8.49166666666667
2019-02-19,6.6
2019-02-20,9.35416666666667
2019-02-21,13.9666666666667
2019-02-22,29.2083333333333
2019-02-23,33.3666666666667
2019-02-24,38.6347826086957
2019-02-25,39.3875
2019-02-26,41.9416666666667
2019-02-27,48.8125
2019-02-28,24.6875
2019-03-01,19.9333333333333
2019-03-02,6.9625
2019-03-03,3.54583333333333
2019-03-04,2.225
2019-03-05,3.525
2019-03-06,6.24166666666667
2019-03-07,3.20833333333333
2019-03-08,4.99583333333333
2019-03-09,7.05833333333333
2019-03-10,2.64285714285714
2019-03-11,4.075
2019-03-12,2.7375
2019-03-13,5.1625
2019-03-14,3.98333333333333
2019-03-15,2.35
2019-03-16,3.27916666666667
2019-03-17,2.15
2019-03-18,6.80833333333333
2019-03-19,13.1375
2019-03-20,8.5125
2019-03-21,10.7541666666667
2019-03-22,12.5083333333333
2019-03-23,12.3708333333333
2019-03-24,9.96666666666667
2019-03-25,8.08333333333333
2019-03-26,14.5291666666667
2019-03-27,11.1208333333333
2019-03-28,18.125
2019-03-29,29.7083333333333
2019-03-30,43.8208333333333
2019-03-31,18.1791666666667
2019-04-01,9.5375
2019-04-02,16.1166666666667
2019-04-03,12.175
2019-04-04,5.79583333333333
2019-04-05,11.8791666666667
2019-04-06,12.6833333333333
2019-04-07,42.2708333333333
2019-04-08,41.5625
2019-04-09,28.6391304347826
2019-04-10,9.67083333333333
2019-04-11,10.3041666666667
2019-04-12,12.8583333333333
2019-04-13,12.0208333333333
2019-04-14,18.4791666666667
